dept,code,title,credit,detail,prereq,crosslist_code
BIOL,BIOL 105,General Zoology,4,"Only for students who have studied Biology in higher secondary school/A- Level or equivalent Classification, structure, and function of all major animal groups including Protozoa, Porifera and Metazoa (invertebrates and chordates).", ,
BIOL,BIOL 201,Cell Biology,3,"Introduction to the course, applications of cell biology, research in cell biology, Evolution of cell, comparison of plant and animal cells, Biological molecules (carbohydrates), Structure and function of plant cell wall, its comparison with prokaryotic cell wall, Biological molecules (Lipids and protein), Ultra structure of cell: plasma membrane, Movement across cell membrane and its significance, Structure and function of chloroplast and mitochondria – comparison, The cytoplasm: endoplasmic reticulum, Golgi complex, Lysosomes and vacuoles. Peroxisomes and glyoxysomes, The Cytoskeleton, Significance of cytoskeleton The Nucleus: structure and function of nucleus, nuclear material, Cell cycle, cell division and its control, Apoptosis – programmed cell death, Comparison to necrosis, Introduction to cellular communications, Types of cellular secretions, Cellular communication – Properties of receptors, Cell signaling pathways, G coupled protein, tyrosine kinase and adhesion receptors.", ,
BIOL,BIOL 203,General Genetics,3,"Introduction, Mendelian genetics, Incomplete dominance, Codominance, Over dominance, Multiple alleles, Blood group system, Gene interaction, Lethality, Environmental factors affecting phenotypes, Sex Determination mechanisms, Sex linked inheritance, Dosage compensation, Nondisjunction phenomenon, Linkage and crossing over, Cytoplasmic inheritance, Quantitative inheritance, Variation in chromosome number, Variation in chromosome structure, Population genetics, problems related to the theoretical course.", ,
BIOL,BIOL 207,Applied Botany,3,"This course will cover the study of plants from economic point of view. The improvement of plants for better yield of their products and the strategies for the domestication and preservation of economically important plants. Plants as a source of food; beverage, herbs and spices; medicinal plants, psychoactive plants, poisonous and allergy plants, fibers, dyes, tannins, hydrogel, latexes and resins, wood cork and bamboo. Cultural and molecular approaches for the improvement of economic products, domestication and preservation of economically important plants", ,
BIOL,BIOL 208,Applied Zoology,3,"Pests of public health importance, Parasites of human and animals, mites and ticks and their control, household insects, insect pests of cash crops, Industrial aspects including apiculture (Honey Bee Culture), lac culture, sericulture (silkworm culture), aquaculture, snake venom, poultry industry, economic importance of mammals, leather industry, dairy industry, wool industry, pharmaceuticals from animals, bioactive substances from animals, pearl culture, wildlife and its management with values, conservational approaches", ,
BIOL,BIOL 212,Research Design and Biostatistics,3,"Stages of research, selection of research topic, hypothesis formation, selecting the right materials and methods for the research being performed, experimental design and its significance, controls, data collection and analysis, hypothesis testing. Training on statistical software (e.g. SPSS, MINITAB)", ,STAT 212 and ENVR 212
BIOL,BIOL 221,Plant Form and Function,4,"This course is an introduction to Plant structure and function. It deals with a general survey of plant kingdom and evolutionary trends in plants, morphology, anatomy, and physiology of plants. The aim of the course is to emphasize that how structural Botany is integrated with other modern fields. It provides knowledge and understanding in plant science for future employment in Biotechnology, agriculture, horticulture, and environmental areas.", ,
BIOL,BIOL 222,Animal Form and Function,4,"Comparison of animals with one another: Similarities and differences among the major phyla of animal kingdom, Challenges in animal form and function, External and internal variations in organs and systems; Integumentary, Reproductive diversity among animal groups, digestive, sensory, cardiac systems and adaptations that enable them to live successfully in their respective environments.", ,
BIOL,BIOL 306,Integrated Pest Management,4,"People, plants and pests, dynamics of pest populations, intensive agriculture, pest problems, concepts of Integrated Pest Management (IPM), cultural control, host plant resistance, parasitoids and predators, microbial control, botanical pest control, synthetic organic insecticides biotechnology approaches, bio-rational and other innovative approaches, IPM achievements, potential and challenges.",BIOL 222,
BIOL,BIOL 313,Biochemistry,4,"This course is designed to provide solid understanding of organic structure of living systems. The topics include chemistry, structure and specific roles of: carbohydrates, lipids, amino acids, proteins and nucleic acids. General characteristics and properties of enzymes including enzyme kinetics will also be covered.",For non-science students: CHEM 160,
BIOL,BIOL 315,Fundamentals of Microbiology,4,"This course deals with History of microbiology, study of microbial life including Bacteria, Fungi, Virus, Protozoa, Algae; comparison of prokaryotic and eukaryotic cells; pure culture techniques, microscopy, bacterial morphology, bacterial growth in different environments and on different media, control of microbes by using different methods, Sterilization, BSL labs; bacterial genetics, mutation and its types, mutagens, transcription and translation in eukaryotes and prokaryotes; antimicrobial resistance; mechanisms microbes use for their protection; antimicrobial drugs and their mode of action; Microbial products, applications of microbes in Food industry, Biotechnology, Environmental science, wastewater treatment, biofuels.", ,
BIOL,BIOL 319,Mycology,4,"This course will deal with the study of structural specialization, diversity, and economic importance of fungi.", ,
BIOL,BIOL 323,Ecology and Evolution,4,"Introduction to ecology, climate and habitats, light, temperature, and water; Populations, distribution, species interaction, competition; Communities, their nature, species diversity, Ecosystems, flow of energy, nutrient cycle, and food webs; succession and stability in communities. Evolution and society, Darwinian natural selection, genetic variation and natural selection, mutation and migration, speciation; Interrelationships between ecology and evolution, evolution as an ongoing process.", ,ENVR 323
BIOL,BIOL 325,Human Physiology,3,This course is designed to provide students with an understanding of the physiology of human system. Course content will include: Cell physiology and membrane permeability; gastrointestinal system; muscle physiology; cardiovascular system; respiratory system; excretory system; nervous system; sensory organs; endocrine system; homeostasis; reproductive system., ,
BIOL,BIOL 327,The Molecular Biology of Cancer,3,"This course will review the field of cancer research, in depth. The molecular mechanisms and factors that invoke a normal cell to develop into a cancerous cell and the mechanisms that help cells avoid and fight cancer will be methodically surveyed. These include DNA damage and repair mechanisms, the regulation of gene expression in eukaryotes, tumor causing viruses, proto-oncogenes, oncogenes and tumor suppressor genes/proteins in cancer development, cellular and genetic basis of carcinogenesis, tumor growth and metastasis, genetic alterations that result in development of cancer molecular mechanisms and the biological principles that are a result of the above described alterations and the methodologies relevant to measure the extent and examine different cancer types.",BIOT 313,
BIOL,BIOL 328,Taxonomy and Dendrology,3,"In this course students will learn about biology of woody plants (trees and shrubs), their identification of morphological, ecological, and molecular aspects. It will introduce them with many economically important woody plants which are widely distributed in areas of Punjab. DNA barcoding techniques, various molecular techniques used in identification and preservation of important trees along with different strategies including conservation of local flora. It also includes role of important trees in phytoremediation. Students will also be introduced to science of dendrochronology and dendroecology.", ,
BIOL,BIOL 329,Applied Endocrinology,4,"This course is designed to provide students an understanding of the hormonal control and regulation of the animal bodies. Applied aspects of endocrinology will be discussed. Course contents will include an overview of endocrine systems in animals and humans, classical and non-classical endocrinology, hormone biosynthesis and metabolism, mechanisms of hormone action, interactions among hormones and environmental interactions with hormonal systems. Clinical disorders associated with endocrine glands and hormones will also be covered. Clinical case studies and endocrine-related technologies will also be included with emphasis on diagnosis and treatment.", ,
BIOL,BIOL 330,Radiobiology,4,"This course will deal with the basic concepts of radiation, its sources, nature, types and properties and effects. Emphasis will be laid on the role of radiobiology in the health sciences and health care industry in terms of diagnosis and injury. Besides this, the course will also elaborate on the factors that affect the dose response elements processes by which radiation is absorbed, the biologic effects of radiation, including cell killing, carcinogenesis and mutation, radio-sensitivity, fractionated radiation, cell survival curves, concepts of linear energy transfer, radioprotection and applications of radiation in daily life.",BIOL 201 or BIOL 203,
BIOL,BIOL 403,Plant Physiology,3,"Application of physical and biological principles to the understanding of plant processes involved in assimilation, metabolism and regulation of growth and development.",For non-science students: BIOL 221,
BIOL,BIOL 404,Conservation Biology,3,"The objective of this course is to familiarize the students with different forms of biodiversity, threats to biodiversity and an overview of different strategies for its conservation.", ,ENVR 405
BIOL,BIOL 408,Applied Entomology,4,"This course will cover all applied aspects of entomology in a broader perspective and will focus on; Insects in the service of man, Insects as enemies of man, Causes of success of insects, Collection and preservation of insects, Classification and considerations for life histories, Agricultural entomology, Veterinary entomology, Medical entomology, Arthropods borne diseases including dengue, Industrial entomology, Forest entomology, Forensic entomology and Nutritional entomology.",IOL 222,
BIOL,BIOL 411,Environmental Microbiology,3,"This course will provide an awareness and understanding to the students about the role of microorganisms in the environment. After completion of this course, students will be able to understand the significance, role and application of microorganisms in the environment.", ,ENVR 411
BIOL,BIOL 412,Neurobiology,3,"Introduction, basic anatomy of nervous system, cellular organization of brain, Neuronal morphology, synapses and spines, different neuronal types: Inhibitory and excitatory neurons, Neuromodulatory neurons, Neuroglial Cells, Astrocytes, cerebral vasculature. Modes of neuronal communication, catecholamines, Serotonin, GABA neurotransmitters, biosynthesis, roles and release. Classical and Non classical neurotransmitters, excitatory and inhibitory amino acid transmitters, unconventional transmitters. Neurotransmitters receptors: Ionotropic receptors, nAcCR, 5HT3, GABA receptors, Glycinergic and glutamate receptors. NMDA and non-NMDA receptors, G-protein coupled receptor, adrenergic, purinergic and dopamine receptors. Quantal release of neurotransmitters: Excitation- secretion coupling, short term synaptic plasticity.",BIOL 201,
BIOL,BIOL 413,Developmental & Regenerative Biology,4,"Focused on animals and human beings, this course provides current knowledge of the processes involved and phases of development and differentiation from embryo to adulthood emphasis on molecular mechanisms using examples from current studies. Course also includes the complex process of development of behavior, the underlying principles of regeneration in invertebrates and vertebrates and medical implications.",BIOL 201 and BIOT 313,
BIOL,BIOL 414,Plant Growth Regulation,4,"This course focuses on recent developments related to plant growth regulation; it covers hormones, senescence, abscission, phytochromes, photomorphogenesis, phototropic and gravitropic responses with emphasis on molecular mechanism of hormones and signal transduction.",BIOL 221,
BIOL,BIOL 415,Food Microbiology and Safety,4,"Food microbiology and microbial lab safety, Overview of microbial cellular structures, Identification of microbial food contaminants, Cell growth and kinetics of probiotics, Microbial metabolism and application of metabolites in food system, Probiotics and their influence on gut microflora, Microbial aspects of food preservation, Food safety and quality, Principle and applications of HACCP in food chain, Quality assurance (QA) and total quality management (TQM) as combined approach towards food safety.",BIOL 315,
BIOL,BIOL 416,Medical Microbiology,3,"Introduction to Medical Microbiology, Commensal and Pathogenic Microbial Flora in Humans, Sterilization, Disinfection and Antisepsis, General Principles of Laboratory Diagnosis, Innate and Antigen Specific Immune Responses to Infectious Agents, Antimicrobial Vaccines, Classification of Microbes (Bacteria/Viruses/Fungi/Parasites), Structure and Replication of Microbes, Mechanisms of Pathogenesis and Laboratory Diagnosis of Infectious Agents, Brief Introduction to Antimicrobial Agents, Intestinal and Urogenital Protozoa, Blood and Tissue Protozoa, Nematodes, Cestodes, Arthropods.",BIOL 201 & BIOL 315,
BIOL,BIOL 469,Plant Pathology,4,"It is recommended to study BIOL 221 prior to get registered for this course. This course deals with basic principles of plant pathology, disease symptoms, groups of plant pathogens and plant diseases; diseases of economically important plants; methods of plant disease control.", ,
BIOL,BIOL 473,Industrial Microbiology,3,This subject is designed to extend the student’s understanding and appreciation of the attributes of microorganisms and the applications of modern techniques in the applied areas of industrial and environmental microbiology. It will also develop an advanced understanding of the applications of microorganisms in the industrial production of foods and other useful products.,BIOL 315,
BIOL,BIOL 498,Internship,3,Students with CGPA of 2.75 or above will be eligible for internship. Internship will be allotted to the students on recommendation of the Departmental Committee. Duration of internship is from 6 to 8 weeks and it is offered in summer to the students of junior year., ,
BIOL,BIOL 499,Research,6,Students with CGPA 2.75 or above will be eligible for research. Research will be allotted to the students on recommendation of the Departmental Committee. It is offered in summer to the students of junior year., ,
BIOL,BIOL X95,Themes,x,"Sections: A-E of 1 credit F-J of 2 credits K-Z of 3 credits Taught by multiple faculty members including guest and foreign faculty. Advanced students in the life sciences explore exciting topics in modern biology. Covering several topics over a semester expand the breadth and depth of student learning. The format will be review and journal articles. Topic possibilities are numerous and may include: biological rhythms, epigenetics in development, inheritance, and disease, emerging diseases, and co- evolution of species", ,
BIOT,BIOT 201,Introduction to Biotechnology,3,"Biotechnology- definition and history; tools of biotechnology, foundations of biotechnology and interdisciplinary pursuit; branches and/or applications of biotechnology in medicine, industry, environment, agriculture (food, livestock, fisheries, algae, fungi, etc.); protection of biotechnological products; safety in biotechnology; public perception of biotechnology; biotechnology and ethics; biotechnology and the developing world.", ,
BIOT,BIOT 202,"Protoplast, Cell and Tissue Culture",4,"A brief history of tissue culture technique, plant growth regulators, culture media, microbial contamination and prevention procedures; Plant cell, tissue and organ culture, Animal cell culture, Multiplication and differentiation of cells. Callus, suspension, and cell line culture, Isolation, culture and fusion of protoplasts and Application of tissue culture techniques.", ,
BIOT,BIOT 211,Biosafety and Biosecurity,3,"This course provides an overview of biosecurity/ biosafety, and practices, equipment, and facilities for the safe and secure handling of dangerous pathogens in a laboratory setting. Students attending this course will be able to have knowledge about operation or maintenance of laboratories handling infectious agents.",BIOL 102 or BIOL 105 or FSc Premedical,
BIOT,BIOT 301,Analytical Techniques in Biology,3,"Introduction, microscopy, different types of microscopes; centrifugation; types of centrifuges, principle, significance and applications; flow cytometry, spectroscopy: UV- visible, FTIR; electrophoretic separation, types of electrophoresis, SDS PAGE, DNA gel electrophoresis; Western Southern and Northern blotting; immunochemical techniques, ELISA; types of ELISA, principles and applications of ELISA, chromatography: gel filtration, HPLC, FPLC, TLC, ion exchange; spectrometry: LC-MS, GC-MS, ESI-MS, MS-MS, MALDI-TOF- MS, applications; microtomy; bioanalytical techniques, types of PCR; RT-PCR, real time PCR, gradient PCR: overview of sequencing techniques.", ,
BIOT,BIOT 302,Fundamentals of Enzymology,4,"The course covers a brief history of enzymes, the enzyme structure, an introduction to the amino acids that make up protein structure and determine function relationships, specificity of enzyme action, physical organization of enzymes (multienzyme complex), chemical and enzymatic kinetics, enzyme-substrate interaction and the roles that enzymes play as the fountain of life.", BIOL 313,
BIOT,BIOT 305,Commercialization of Biotechnology Products,3,"An overview of commercial products and services that Biotechnology offers. General aspects related to the quality control and criterion for industrially important bioprocesses; their management and impact on the current market. Resource planning and management of bio-inoculant; antimicrobial agents; metabolites, enzymes and therapeutic proteins. Biotechnology and intellectual property right. Industry interaction and technology transfer. Basics of effective marketing and promotion of Biotechnology products. Steps involved in commercialization of biotechnological merchandise.", ,
BIOT,BIOT 307,Molecular Immunology,3,"Introduction to immunology; the basic processes involved in triggering the immune system and rendering it resistance or susceptibility to different infections. The study of molecular and biochemical events that influence immune responses. This course also includes: Innate (Non-specific) and adaptive (Specific) immunity, immunoglobulins: structure and functions, antigens, antibody formation and hypersensitivity.", BIOL 201,
BIOT,BIOT 309,Microbial Biochemistry,3,"Microbial growth: mathematical expression of growth, growth curve, measurement of growth and growth yields; synchronous growth and continuous culture. Metabolic diversity among microorganisms, metabolism of carbohydrates, lipids, amino acid, purines and pyrimidines in prokaryotes. Antimicrobial agents: mode of action and resistance to antibiotics.", BIOL 313,
BIOT,BIOT 313,Molecular Biology,4,"History, structure and function of DNA, DNA replication in prokaryotes and eukaryotes, structure, function and types of RNA, transcription, post transcriptional processing, translation, post translational processing in prokaryotes and eukaryotes, control of gene regulation in prokaryotes and eukaryotes, mutation and mutagens, DNA damage and repair, recombination and transposable elements.",BIOL 201,
BIOT,BIOT 314,Bioenergetics and Metabolism,3," This course covers intermediate metabolism in biological systems. Pathways of breakdown and synthesis of biological molecules such as carbohydrates, lipids and nitrogenous compounds will be examined. Emphasis will be placed on the thermodynamics of the reactions and the regulatory mechanism of pathways.",BIOL 102 or BIOL 105 or FSc or BIOL 313,
BIOT,BIOT 315,Genomics and Tools of Bioinformatics,4,"Introduction to Genomics, techniques involved in studying of genomes i.e. manual and automated DNA sequencing, genotyping, mapping and assembling a genome, an introduction to pharmacogenomics, personal genomics, SNP, RFPL, microsatellite DNA Markers, Brief history and introduction of bioinformatics, use of online data banks for nucleic acid and protein analysis, prediction of attributes of proteins and nucleic acids on the basis of tabulated data, DNA microarray, proteomics and survey of a genome of a model organism using bioinformatics tools.",BIOT 313,
BIOT,BIOT 316,Fundamentals of Virology,3,"Origin and nature of viruses, taxonomy and classification, ultra structure of viruses, virus isolation, purification and identification, models of viral replication, viral genome analysis, chemotherapy of viral infections, virus host interaction, immunity to viral infections, important viral families of human importance; family characteristics, transmission, epidemiology and pathogenicity.", BIOL 315,
BIOT,BIOT 407,Aquaculture Technology,4,"Introduction, sources and quality of water, culture systems (open, semi-closed and closed system). Water flow and pumps, filtration and water treatment, culture methods for seaweed, molluscs, crustacean fishes and higher vertebrates, natural food and artificial feed harvesting techniques. Policies on leasing.", BIOL 222,
BIOT,BIOT 408,Recombinant DNA Technology,4,"This course includes the central dogma of molecular biology and structural aspects of gene expression in prokaryotes and eukaryotes which introduces a good knowledge of promoter, cds and terminator sequences; the laboratory bacterial strains and their genotypes, maintenance of genotypes and preservation of modified bacterial strains; isolation of DNA from different types of tissues and isolation of synthetic and natural plasmids from bacteria; different types of plasmid vectors for bacterial, animal and plant systems; restriction enzymes, their types and utilization in recombinant DNA technology, other DNA modifying enzymes and their uses with particular emphasis on gene cloning; transformation systems for bacteria, animal cells and plant tissues; screening of transgenics through various technologies, e.g., Southern hybridization, PCR and RT-PCR.", BIOT 313,
BIOT,BIOT 409,Food and Dairy Technology,3,"Status of food industry in Pakistan & abroad; Classification of foods: Perishable, semi perishable and foods with longer shelf life. Processing of milk and dairy products: Pasteurization, UHT for milk, cream, butter and concentrated dried milk. Fermented dairy products: Microbiology of starter cultures, cheese technology, yogurt, acidophilus milk etc. Nutritional and therapeutic benefits of fermented milk products. Food preservation by chemical & physical methods, food spoilage, food packaging, recent trends in food technology, Use of genetically modified foods, food safety; Concept of Hazard Analysis Critical Control Points (HACCP).", ,
BIOT,BIOT 411,Agriculture Biotechnology,3,"Introduction and origin of Biotechnology; Soil biotechnology; microbial interactions in agriculture, microbial control of fungal plant pathogens and importance of microorganisms for soil fertility, plant growth promoting rhizobacteria, secondary metabolites with antifungal activities, methods to produce transgenic plants with biotic and abiotic resistance, genetic manipulation of fruit ripening, engineering plant protein composition for improved nutrition, genetic manipulation of crop yield by enhancement of photosynthesis, production of high value proteins in plants, vaccines from plants and biofuels.",BIOT 201,
BIOT,BIOT 412,Medical Biotechnology,3,"Nanobiotechnology, cancer immunotherapy, gene therapy, stem cell biotechnology, knockout mice and gene inserts, siRNA, genetically engineered animals, infectious diseases, diagnostics and antibiotic resistance, biomaterials in regenerative medicine, vaccine technology, novel antimicrobial agents, their design and other future medical biotechnologies.", BIOT 313,
BIOT,BIOT 413,Structural and Computational Biology,3,"The course will focus on the fundamentals of nucleic acid and protein sequence analysis, introduction of analysis and modeling of complex biological systems. DNA Sequencing Technologies, Library Complexity and Short Read Alignment (Mapping), Genome Assembly and annotation, Metagenome/Microbiome data analysis, ChIP-seq Analysis; DNA-protein Interactions, Simultaneous ChIP-seq Peak Discovery and Motif Sampling, RNA-sequence Analysis: Expression, Isoforms, Biological Functions and Prediction, Probabilistic Grammatical Models of RNA Structure, Introduction to Protein Structure; Structure Comparison and Classification, Predicting Protein Structure, and Predicting Protein Interactions.", BIOT 313 and BIOT 315,
BIOT,BIOT 498,Internship,3,Students with CGPA 2.75 or above will be eligible for internship. Internship will be allotted to the students on recommendation of the Departmental Committee. Duration of internship is from 6 to 8 weeks and this is offered in the summer to the students of junior year., ,
BIOT,BIOT 499,Research,6,Student with CGPA 2.75 or above will be eligible for research. Research will be allotted to the students on recommendation of the Departmental Committee. Research is offered in summer to the students of junior year., ,
BUSN,BUSN 101,Principles of Accounting,3,"Understanding accounting records, entering transactions, applying accounting concepts, principles and practices, and reading financial statements.", ,
BUSN,BUSN 121,Microeconomics,3,"Fundamentals of economics including price theory and applications, industry and market structure, equilibrium analysis and welfare economics.", ,
BUSN,BUSN 160,Management Communications,3,"Introduction to verbal and written communication theory and practice, with focus on individual oral and written skills in letter and memo writing, use of emails, presentations and preparing reports.", ,
